vehicle_id,lap,lap_time_s,lap_interval_s,is_outlier,AIR_TEMP,HUMIDITY,WIND_SPEED,RAIN,POSITION,NUMBER,LAPS,TOTAL_TIME,FL_TIME,avg_speed_est,is_fastest_lap,FL_KPH,FL_TIME_SEC,TOTAL_TIME_SEC,GAP_FIRST_SEC
GR86-002-2,32768,438.608,,False,,,,,19.0,2.0,15.0,45:31.281,2:40.838,32.83113851092547,False,145.8,160.838,2731.281,27.592
GR86-002-2,0,23.221,23.22,False,,,,,19.0,2.0,15.0,45:31.281,2:40.838,620.1283321131734,True,145.8,160.838,2731.281,27.592
GR86-002-2,32768,513.854,513.869,False,,,,,19.0,2.0,15.0,45:31.281,2:40.838,28.02352419169647,False,145.8,160.838,2731.281,27.592
GR86-002-2,1,900.226,900.243,False,21.0,94.67,2.52,0.0,19.0,2.0,15.0,45:31.281,2:40.838,15.995983230877577,False,145.8,160.838,2731.281,27.592
GR86-002-2,2,228.716,228.721,False,,94.6,0.36,0.0,19.0,2.0,15.0,45:31.281,2:40.838,62.96017768761258,False,145.8,160.838,2731.281,27.592
GR86-002-2,3,211.844,211.95,False,21.19,94.62,18.36,0.0,19.0,2.0,15.0,45:31.281,2:40.838,67.97454730839675,False,145.8,160.838,2731.281,27.592
GR86-002-2,4,169.954,169.864,False,21.26,94.68,,0.0,19.0,2.0,15.0,45:31.281,2:40.838,84.72880897183943,False,145.8,160.838,2731.281,27.592
GR86-002-2,5,168.489,168.496,False,,94.76,,0.0,19.0,2.0,15.0,45:31.281,2:40.838,85.46552000427327,False,145.8,160.838,2731.281,27.592
GR86-002-2,6,172.574,172.573,False,21.49,94.57,,0.0,19.0,2.0,15.0,45:31.281,2:40.838,83.44246526127921,False,145.8,160.838,2731.281,27.592
GR86-002-2,7,168.801,168.82,False,21.67,94.56,4.68,0.0,19.0,2.0,15.0,45:31.281,2:40.838,85.30755149554803,False,145.8,160.838,2731.281,27.592
GR86-004-78,32768,2077.094,,False,21.0,94.67,2.52,0.0,,,,,,6.932762792632399,False,,,,
GR86-004-78,1,229.765,229.764,False,,94.6,0.36,0.0,,,,,,62.67273083367789,False,,,,
GR86-004-78,2,208.026,208.027,False,21.19,94.62,18.36,0.0,,,,,,69.22211646621095,False,,,,
GR86-004-78,3,171.856,171.867,False,21.26,94.68,,0.0,,,,,,83.79108090494368,False,,,,
GR86-004-78,4,169.321,169.323,False,,94.76,,0.0,,,,,,85.04556434228478,True,,,,
GR86-004-78,5,169.747,169.794,False,21.49,94.57,,0.0,,,,,,84.83213252664258,False,,,,
GR86-004-78,6,170.665,170.626,False,21.67,94.56,4.68,0.0,,,,,,84.37582398265609,False,,,,
GR86-006-7,32768,1067.26,,False,,,,,2.0,7.0,15.0,45:04.341,2:43.792,13.492494799767629,False,143.2,163.792,2704.341,0.652
GR86-006-7,1,899.297,899.327,False,21.0,94.67,2.52,0.0,2.0,7.0,15.0,45:04.341,2:43.792,16.01250754756215,False,143.2,163.792,2704.341,0.652
GR86-006-7,2,228.716,228.723,False,,94.6,0.36,0.0,2.0,7.0,15.0,45:04.341,2:43.792,62.96017768761258,False,143.2,163.792,2704.341,0.652
GR86-006-7,3,211.918,211.913,False,21.19,94.62,18.36,0.0,2.0,7.0,15.0,45:04.341,2:43.792,67.95081116280825,False,143.2,163.792,2704.341,0.652
GR86-006-7,4,170.659,170.66,False,21.26,94.68,,0.0,2.0,7.0,15.0,45:04.341,2:43.792,84.37879045347741,False,143.2,163.792,2704.341,0.652
GR86-006-7,5,169.214,169.22,False,,94.76,,0.0,2.0,7.0,15.0,45:04.341,2:43.792,85.09934166203742,False,143.2,163.792,2704.341,0.652
GR86-006-7,6,168.876,168.892,False,21.49,94.57,,0.0,2.0,7.0,15.0,45:04.341,2:43.792,85.26966531656363,True,143.2,163.792,2704.341,0.652
GR86-006-7,7,169.036,169.03,False,21.63,94.77,7.92,0.0,2.0,7.0,15.0,45:04.341,2:43.792,85.18895383231974,False,143.2,163.792,2704.341,0.652
GR86-010-16,32768,4286.849,,True,,,,,,,,,,3.3591106194783156,False,,,,
GR86-010-16,1,903.555,903.557,False,21.0,94.67,2.52,0.0,,,,,,15.937048657801684,False,,,,
GR86-010-16,2,229.021,229.022,False,,94.6,0.36,0.0,,,,,,62.87633011819878,False,,,,
GR86-010-16,3,213.096,213.1,False,21.19,94.62,18.36,0.0,,,,,,67.57517738484063,False,,,,
